time,last,diff,position,thrust,set,loop,update
1520599542803897,0,1520599542803897,0.19563097183395725,21.833926235608153,10.0,358,false
1520599542804914,0,1520599542804914,0.19794250141639883,21.81589203752086,10.0,359,false
1520599542805932,0,1520599542805932,0.2002686369687326,21.795418726139093,10.0,360,false
1520599542806949,0,1520599542806949,0.20260563329839154,21.775618670596053,10.0,361,false
1520599542807965,0,1520599542807965,0.2049523650108386,21.752525842487355,10.0,362,false
1520599542808990,0,1520599542808990,0.2073318085595019,21.734087119444133,10.0,363,false
1520599542810000,0,1520599542810000,0.20968939659516947,21.71703056644161,10.0,364,false
1520599542811018,0,1520599542811018,0.21207546210815634,21.671171429117148,10.0,365,false
1520599542812036,0,1520599542812036,0.21447575464532892,21.693575881333107,10.0,366,false
1520599542813062,0,1520599542813062,0.21690847976576333,21.65299266335631,10.0,367,false
1520599542814070,0,1520599542814070,0.21930968012884783,21.630186704205048,10.0,368,false
1520599542815086,0,1520599542815086,0.2217427131573811,21.584542471479985,10.0,369,false
1520599542816104,0,1520599542816104,0.2241918880594133,21.618923486289983,10.0,370,false
1520599542817121,0,1520599542817121,0.22664942686983025,21.57402789763784,10.0,371,false
1520599542818138,0,1520599542818138,0.229120811724009,21.548705199318857,10.0,372,false
1520599542819155,0,1520599542819155,0.23160409854549158,21.53308380187056,10.0,373,false
1520599542820172,0,1520599542820172,0.23410017054786644,21.51057487295119,10.0,374,false
1520599542821190,0,1520599542821190,0.23660920260706053,21.49046603635854,10.0,375,false
1520599542822207,0,1520599542822207,0.23912874330841163,21.46922097021751,10.0,376,false
1520599542823224,0,1520599542823224,0.2416605988467859,21.447724658129058,10.0,377,false
1520599542824241,0,1520599542824241,0.24420414846627944,21.429266090802443,10.0,378,false
1520599542825260,0,1520599542825260,0.24676333988658436,21.40851873961896,10.0,379,false
1520599542826275,0,1520599542826275,0.2493274972987939,21.38851784375495,10.0,380,false
1520599542827292,0,1520599542827292,0.25190663845771727,21.3635429378564,10.0,381,false
