time,clock,sleep,execute,overrun,type
1520599537441256,1000,887,112,0,2
1520599537441271,1000,887,112,0,3
1520599537441271,1000,887,112,0,4
1520599537442175,1000,887,112,0,0
1520599537442261,1000,887,112,0,1
1520599537442272,1000,887,112,0,2
1520599537442286,1000,887,112,0,3
1520599537442287,1000,887,112,0,4
1520599537443191,1000,887,112,0,0
1520599537443276,1000,887,112,0,1
1520599537443286,1000,887,112,0,2
1520599537443300,1000,887,112,0,3
1520599537443301,1000,887,112,0,4
1520599537444206,1000,889,110,0,0
1520599537444292,1000,889,110,0,1
1520599537444302,1000,889,110,0,2
1520599537444317,1000,889,110,0,3
1520599537444318,1000,889,110,0,4
1520599537445221,1000,888,111,0,0
1520599537445308,1000,888,111,0,1
1520599537445317,1000,888,111,0,2
1520599537445332,1000,888,111,0,3
1520599537445333,1000,888,111,0,4
1520599537446237,1000,888,111,0,0
1520599537446323,1000,888,111,0,1
1520599537446333,1000,888,111,0,2
1520599537446348,1000,888,111,0,3
1520599537446349,1000,888,111,0,4
1520599537447253,1000,888,111,0,0
1520599537447339,1000,888,111,0,1
1520599537447350,1000,888,111,0,2
1520599537447364,1000,888,111,0,3
1520599537447365,1000,888,111,0,4
1520599537448269,1000,887,112,0,0
1520599537448354,1000,887,112,0,1
1520599537448376,1000,887,112,0,2
1520599537448391,1000,887,112,0,3
1520599537448392,1000,887,112,0,4
1520599537449284,1000,876,123,0,0
1520599537449370,1000,876,123,0,1
1520599537449382,1000,876,123,0,2
1520599537449396,1000,876,123,0,3
1520599537449397,1000,876,123,0,4
1520599537450300,1000,886,113,0,0
1520599537450385,1000,886,113,0,1
1520599537450396,1000,886,113,0,2
1520599537450410,1000,886,113,0,3
1520599537450411,1000,886,113,0,4
1520599537451316,1000,888,111,0,0
1520599537451401,1000,888,111,0,1
1520599537451412,1000,888,111,0,2
1520599537451426,1000,888,111,0,3
1520599537451427,1000,888,111,0,4
1520599537452332,1000,888,111,0,0
1520599537452417,1000,888,111,0,1
1520599537452428,1000,888,111,0,2
1520599537452443,1000,888,111,0,3
1520599537452444,1000,888,111,0,4
1520599537453346,1000,887,112,0,0
1520599537453433,1000,887,112,0,1
1520599537453443,1000,887,112,0,2
1520599537453457,1000,887,112,0,3
1520599537453458,1000,887,112,0,4
1520599537454362,1000,887,112,0,0
1520599537454449,1000,887,112,0,1
1520599537454459,1000,887,112,0,2
1520599537454474,1000,887,112,0,3
1520599537454475,1000,887,112,0,4
1520599537455378,1000,887,112,0,0
1520599537455464,1000,887,112,0,1
1520599537455475,1000,887,112,0,2
1520599537455490,1000,887,112,0,3
1520599537455490,1000,887,112,0,4
1520599537456394,1000,887,112,0,0
1520599537456480,1000,887,112,0,1
1520599537456491,1000,887,112,0,2
