index,time
8711,1712169387527017
8712,1712169387528020
8713,1712169387529023
8714,1712169387530027
8715,1712169387531030
8716,1712169387532033
8717,1712169387533036
8718,1712169387534039
8719,1712169387535042
8720,1712169387536045
8721,1712169387537048
8722,1712169387538052
8723,1712169387539055
8724,1712169387540058
8725,1712169387541061
8726,1712169387542064
8727,1712169387543068
8728,1712169387544071
8729,1712169387545074
8730,1712169387546077
8731,1712169387547080
8732,1712169387548083
8733,1712169387549086
8734,1712169387550089
8735,1712169387551093
8736,1712169387552096
8737,1712169387553099
8738,1712169387554102
8739,1712169387555105
8740,1712169387556108
8741,1712169387557111
8742,1712169387558114
8743,1712169387559118
8744,1712169387560121
8745,1712169387561124
8746,1712169387562127
8747,1712169387563130
8748,1712169387564133
8749,1712169387565137
8750,1712169387566140
8751,1712169387567143
8752,1712169387568146
8753,1712169387569149
8754,1712169387570152
8755,1712169387571156
8756,1712169387572159
8757,1712169387573162
8758,1712169387574165
8759,1712169387575168
8760,1712169387576171
8761,1712169387577174
8762,1712169387578177
8763,1712169387579181
8764,1712169387580184
8765,1712169387581187
8766,1712169387582190
8767,1712169387583193
8768,1712169387584196
8769,1712169387585199
8770,1712169387586202
8771,1712169387587206
8772,1712169387588209
8773,1712169387589212
8774,1712169387590215
8775,1712169387591218
8776,1712169387592221
8777,1712169387593224
8778,1712169387594228
8779,1712169387595231
8780,1712169387596234
8781,1712169387597237
8782,1712169387598240
8783,1712169387599244
8784,1712169387600246
8785,1712169387601250
8786,1712169387602253
8787,1712169387603256
8788,1712169387604259
8789,1712169387605262
8790,1712169387606265
8791,1712169387607269
8792,1712169387608272
8793,1712169387609275
8794,1712169387610278
8795,1712169387611281
8796,1712169387612284
8797,1712169387613287
8798,1712169387614290
8799,1712169387615294
8800,1712169387616298
8801,1712169387617301
8802,1712169387618304
8803,1712169387619308
8804,1712169387620311
8805,1712169387621314
8806,1712169387622317
8807,1712169387623320
8808,1712169387624323
8809,1712169387625326
8810,1712169387626329
8811,1712169387627333
8812,1712169387628336
8813,1712169387629339
8814,1712169387630342
8815,1712169387631345
8816,1712169387632348
8817,1712169387633351
8818,1712169387634355
8819,1712169387635358
8820,1712169387636361
8821,1712169387637364
8822,1712169387638367
8823,1712169387639370
8824,1712169387640373
8825,1712169387641377
8826,1712169387642380
8827,1712169387643383
8828,1712169387644386
8829,1712169387645389
8830,1712169387646392
8831,1712169387647395
8832,1712169387648398
8833,1712169387649402
8834,1712169387650405
8835,1712169387651408
8836,1712169387652411
8837,1712169387653414
8838,1712169387654418
8839,1712169387655421
8840,1712169387656424
8841,1712169387657427
8842,1712169387658431
8843,1712169387659434
8844,1712169387660437
8845,1712169387661440
8846,1712169387662444
8847,1712169387663447
8848,1712169387664450
8849,1712169387665453
8850,1712169387666457
8851,1712169387667459
8852,1712169387668463
8853,1712169387669466
8854,1712169387670469
8855,1712169387671472
8856,1712169387672475
8857,1712169387673478
8858,1712169387674482
8859,1712169387675485
8860,1712169387676488
8861,1712169387677491
8862,1712169387678494
8863,1712169387679497
8864,1712169387680500
8865,1712169387681503
8866,1712169387682507
8867,1712169387683510
8868,1712169387684512
8869,1712169387685515
8870,1712169387686519
8871,1712169387687522
8872,1712169387688525
8873,1712169387689529
8874,1712169387690532
8875,1712169387691536
8876,1712169387692539
8877,1712169387693542
8878,1712169387694546
8879,1712169387695549
8880,1712169387696552
8881,1712169387697555
